CODICE;GIORNO;AUTORE;TITOLO EN;TITOLO IT;DATA;TECNICA;UBICAZIONE;FORMA;TIPO;PERIODO;IMMAGINE;WIKI_IT;WIKI_EN;WIKI_FR
C0001-MSD;2;BERNINI, Gian Lorenzo;Apollo and Daphne;Apollo e Dafne;1622-25;Carrara marble, height 243 cm;Galleria Borghese, Rome;sculpture;mythological;1601-1650;https://upload.wikimedia.org/wikipedia/commons/c/c5/Apollo_and_Daphne_%28Bernini%29.jpg;https://it.wikipedia.org/wiki/Apollo%20e%20Dafne%20(Bernini);https://en.wikipedia.org/wiki/Apollo%20and%20Daphne%20(Bernini);https://fr.wikipedia.org/wiki/Apollon%20et%20Daphn%C3%A9%20(Le%20Bernin)
C0002-MSD;11;BERNINI, Gian Lorenzo;The Rape of Proserpina;Ratto di Proserpina;1621-22;Marble, height 255 cm;Galleria Borghese, Rome;sculpture;mythological;1601-1650;https://upload.wikimedia.org/wikipedia/commons/c/c5/The_Rape_of_Proserpina_%28Rome%29.jpg;https://it.wikipedia.org/wiki/Ratto_di_Proserpina_(Bernini);https://en.wikipedia.org/wiki/The%20Rape%20of%20Proserpina;https://fr.wikipedia.org/wiki/L'Enl%C3%A8vement%20de%20Proserpine%20(Le%20Bernin)
C0003-RSD;3;BERNINI, Gian Lorenzo;Ecstasy of Saint Teresa;Estasi di santa Teresa d'Avila;1647-52;Marble;Santa Maria della Vittoria, Rome;sculpture;religious;1601-1650;https://it.wikipedia.org/wiki/Estasi_di_santa_Teresa_d%27Avila#/media/File:Ecstasy_of_St._Teresa_HDR.jpg;https://it.wikipedia.org/wiki/Estasi_di_santa_Teresa_d%27Avila;https://en.wikipedia.org/wiki/Ecstasy%20of%20Saint%20Teresa;https://fr.wikipedia.org/wiki/Le%20Bernin
C0004-TSE;4;CANOVA, Antonio;Pauline Bonaparte as Venus Victrix;Paolina Borghese come Venere vincitrice;1805-08;Marble, 160 x 192 cm;Galleria Borghese, Rome;sculpture;portrait;1801-1850;https://upload.wikimedia.org/wikipedia/commons/1/16/Paolina_Borghese_%28Canova%29.jpg;https://it.wikipedia.org/wiki/Paolina_Borghese_(Canova);https://en.wikipedia.org/wiki/Venus%20Victrix%20(Canova);https://fr.wikipedia.org/wiki/V%C3%A9nus%20Victrix%20(Canova)
C0005-MSE;17;CANOVA, Antonio;Hercules and Lichas;Ercole e Lica;1795-1815;Marble, height 335 cm;Galleria Nazionale Arte Moderna, Rome;sculpture;mythological;1801-1850;https://upload.wikimedia.org/wikipedia/commons/3/3b/Canova_ErcoleLica_1.jpg;https://it.wikipedia.org/wiki/Ercole_e_Lica;https://en.wikipedia.org/wiki/Antonio%20Canova;https://fr.wikipedia.org/wiki/Antonio%20Canova
C0006-MSE;22;CANOVA, Antonio;Perseus Triumphant;Perseo trionfante;1800-01;Marble, height 235 cm;Pinacoteca, Vatican;sculpture;mythological;1801-1850;https://upload.wikimedia.org/wikipedia/commons/a/a7/Perseus_Canova_Pio-Clementino_Inv969_n2.jpg;https://it.wikipedia.org/wiki/Perseo_trionfante;https://en.wikipedia.org/wiki/Antonio%20Canova;https://fr.wikipedia.org/wiki/Pers%C3%A9e_triomphant
C0007-RSC;12;MICHELANGELO Buonarroti;Moses;Mos�;1515;Marble, height 235 cm;San Pietro in Vincoli, Rome;sculpture;religious;1501-1550;https://upload.wikimedia.org/wikipedia/commons/5/59/Michelangelo%27s_Moses_%28Rome%29.jpg;https://it.wikipedia.org/wiki/Mos%C3%A8%20(Michelangelo);https://en.wikipedia.org/wiki/Moses_(Michelangelo);https://fr.wikipedia.org/wiki/Mo%C3%AFse_(Michel-Ange)
C0008-MSC;25;MICHELANGELO Buonarroti;Piet�;Piet� Vaticana;1499;Marble, height 174 cm;Basilica di San Pietro, Vatican;sculpture;mythological;1501-1550;https://upload.wikimedia.org/wikipedia/commons/f/f1/Michelangelo%27s_Piet%C3%A0%2C_St_Peter%27s_Basilica_%281498%E2%80%9399%29.jpg;https://it.wikipedia.org/wiki/Piet%C3%A0_vaticana;https://en.wikipedia.org/wiki/Piet%C3%A0%20(Michelangelo);https://fr.wikipedia.org/wiki/Piet%C3%A0_(Michel-Ange)
C0009-MSE;28;VALADIER, Luigi;Herm of Bacchus;Erma di Bacco;1773-74;Bronze and alabaster, height 175 cm;Galleria Borghese, Rome;sculpture;mythological;1751-1800;https://upload.wikimedia.org/wikipedia/commons/b/b6/Herm_of_Bacchus_by_Luigi_Valadier%2C_1773%2C_bronze%2C_alabaster_-_Galleria_Borghese_-_Rome%2C_Italy_-_DSC04982.jpg;https://it.wikipedia.org/wiki/Luigi_Valadier;https://en.wikipedia.org/wiki/List%20of%20sculptors%20in%20the%20Web%20Gallery%20of%20Art;https://fr.wikipedia.org/wiki/T%C3%AAte_de_Bacchus
E0001-RMA;5;MOSAIC ARTIST, Italian;Traditio Legis;Traditio Legis;4th century;Mosaic;Santa Costanza, Rome;mosaic;religious;0351-0400;https://it.wikipedia.org/wiki/Traditio_legis#/media/File:Traditio_Legis_mosaic_-_Santa_Costanza_-_Rome_2016.jpg;https://it.wikipedia.org/wiki/Mausoleo_di_Santa_Costanza;https://en.wikipedia.org/wiki/Mausoleum_of_Constantina;https://fr.wikipedia.org/wiki/%C3%89glise_Santa_Costanza
